"","Land","X2015","X2016","X2017","X2018"
"1","Belgium",0.84,0.4758333,0.7225,0.795
"2","Denmark",0.6908333,0.3208333,0.4766667,0.4558333
"3","Germany",0.4958333,0.09,0.3175,0.3966667
"4","Finland",0.7233334,0.365,0.5466667,0.6616667
"5","France",0.8418727,0.4678807,0.8105078,0.7841667
"6","Greece",9.666364,8.36,5.978333,4.185
"7","Ireland",1.113333,0.6875,0.7925,0.94175
"8","Iceland",6.259167,5.603333,4.858333,5.330833
"9","Italy",1.71395,1.486433,2.112925,2.6104
"10","Latvia",0.9633333,0.5341667,0.8341666,0.9025
"11","Lithuania",1.380833,0.8983333,0.31,0.31
"12","Luxembourg",0.36428,-0.177239,0.5027078,0.5640635
"13","Netherlands",0.6903333,0.2910833,0.5220833,0.5766667
"14","Norway",1.565,1.331667,1.6375,1.879167
"15","Austria",0.7463517,0.3753925,0.583265,0.6861517
"16","Poland",2.700557,3.035689,3.42,3.198333
"17","Portugal",2.423333,3.171667,3.0525,1.839167
"18","Sweden",0.7191667,0.5191666,0.655,0.6516666
"19","Switzerland",-0.06916667,-0.362,-0.07208333,0.03316667
"20","Slovakia",0.885,0.5433334,0.9166667,0.8858333
"21","Slovenia",1.706667,1.149167,0.96,0.9308333
"22","Spain",1.735087,1.393302,1.557866,1.419352
"23","Czech Republic",0.575,0.4275,0.9808334,1.981667
"24","Hungary",3.4325,3.143333,2.9625,3.058333
"25","United Kingdom",1.901033,1.305208,1.235808,1.460658
