"TIME","GEO","CURRENCY","ESTRUCT","ECASE","Value","Flag and Footnotes"
"2010","European Union - 27 countries (from 2020)","Euro","Net earning","Single person without children, 50% of AW",":",""
"2010","European Union - 27 countries (from 2020)","Euro","Net earning","Single person without children, 67% of AW",":",""
"2010","European Union - 27 countries (from 2020)","Euro","Net earning","Single person without children, 80% of AW",":",""
"2010","European Union - 27 countries (from 2020)","Euro","Net earning","Single person without children, 100% of AW",":",""
"2010","European Union - 27 countries (from 2020)","Euro","Net earning","Single person without children, 125% of AW",":",""
"2010","European Union - 27 countries (from 2020)","Euro","Net earning","Single person without children, 167% of AW",":",""
"2010","European Union - 27 countries (from 2020)","Euro","Net earning","Single person with 2 children, 67% of AW",":",""
"2010","European Union - 27 countries (from 2020)","Euro","Net earning","One-earner married couple, at 100% of AW, with two children",":",""
"2010","European Union - 27 countries (from 2020)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children",":",""
"2010","European Union - 27 countries (from 2020)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children",":",""
"2010","European Union - 27 countries (from 2020)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children",":",""
"2010","European Union - 27 countries (from 2020)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children",":",""
"2010","European Union - 27 countries (from 2020)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children",":",""
"2010","European Union - 28 countries (2013-2020)","Euro","Net earning","Single person without children, 50% of AW",":",""
"2010","European Union - 28 countries (2013-2020)","Euro","Net earning","Single person without children, 67% of AW",":",""
"2010","European Union - 28 countries (2013-2020)","Euro","Net earning","Single person without children, 80% of AW",":",""
"2010","European Union - 28 countries (2013-2020)","Euro","Net earning","Single person without children, 100% of AW",":",""
"2010","European Union - 28 countries (2013-2020)","Euro","Net earning","Single person without children, 125% of AW",":",""
"2010","European Union - 28 countries (2013-2020)","Euro","Net earning","Single person without children, 167% of AW",":",""
"2010","European Union - 28 countries (2013-2020)","Euro","Net earning","Single person with 2 children, 67% of AW",":",""
"2010","European Union - 28 countries (2013-2020)","Euro","Net earning","One-earner married couple, at 100% of AW, with two children",":",""
"2010","European Union - 28 countries (2013-2020)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children",":",""
"2010","European Union - 28 countries (2013-2020)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children",":",""
"2010","European Union - 28 countries (2013-2020)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children",":",""
"2010","European Union - 28 countries (2013-2020)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children",":",""
"2010","European Union - 28 countries (2013-2020)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children",":",""
"2010","European Union - 15 countries (1995-2004)","Euro","Net earning","Single person without children, 50% of AW","14,040.59",""
"2010","European Union - 15 countries (1995-2004)","Euro","Net earning","Single person without children, 67% of AW","17,663.70",""
"2010","European Union - 15 countries (1995-2004)","Euro","Net earning","Single person without children, 80% of AW","20,560.54",""
"2010","European Union - 15 countries (1995-2004)","Euro","Net earning","Single person without children, 100% of AW","24,936.32",""
"2010","European Union - 15 countries (1995-2004)","Euro","Net earning","Single person without children, 125% of AW","30,122.89",""
"2010","European Union - 15 countries (1995-2004)","Euro","Net earning","Single person without children, 167% of AW","38,285.58",""
"2010","European Union - 15 countries (1995-2004)","Euro","Net earning","Single person with 2 children, 67% of AW","21,962.28",""
"2010","European Union - 15 countries (1995-2004)","Euro","Net earning","One-earner married couple, at 100% of AW, with two children","29,423.89",""
"2010","European Union - 15 countries (1995-2004)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children","38,172.42",""
"2010","European Union - 15 countries (1995-2004)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children","45,695.19",""
"2010","European Union - 15 countries (1995-2004)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children","52,928.18",""
"2010","European Union - 15 countries (1995-2004)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children","35,065.84",""
"2010","European Union - 15 countries (1995-2004)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children","49,937.16",""
"2010","Euro area - 19 countries  (from 2015)","Euro","Net earning","Single person without children, 50% of AW","13,063.15",""
"2010","Euro area - 19 countries  (from 2015)","Euro","Net earning","Single person without children, 67% of AW","16,285.19",""
"2010","Euro area - 19 countries  (from 2015)","Euro","Net earning","Single person without children, 80% of AW","18,903.63",""
"2010","Euro area - 19 countries  (from 2015)","Euro","Net earning","Single person without children, 100% of AW","22,842.65",""
"2010","Euro area - 19 countries  (from 2015)","Euro","Net earning","Single person without children, 125% of AW","27,496.76",""
"2010","Euro area - 19 countries  (from 2015)","Euro","Net earning","Single person without children, 167% of AW","35,024.55",""
"2010","Euro area - 19 countries  (from 2015)","Euro","Net earning","Single person with 2 children, 67% of AW","20,077.39",""
"2010","Euro area - 19 countries  (from 2015)","Euro","Net earning","One-earner married couple, at 100% of AW, with two children","27,614.95",""
"2010","Euro area - 19 countries  (from 2015)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children","35,437.16",""
"2010","Euro area - 19 countries  (from 2015)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children","42,337.53",""
"2010","Euro area - 19 countries  (from 2015)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children","48,859.09",""
"2010","Euro area - 19 countries  (from 2015)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children","32,330.40",""
"2010","Euro area - 19 countries  (from 2015)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children","45,763.99",""
"2010","Belgium","Euro","Net earning","Single person without children, 50% of AW","15,720.64",""
"2010","Belgium","Euro","Net earning","Single person without children, 67% of AW","18,507.82",""
"2010","Belgium","Euro","Net earning","Single person without children, 80% of AW","20,982.82",""
"2010","Belgium","Euro","Net earning","Single person without children, 100% of AW","24,873.45",""
"2010","Belgium","Euro","Net earning","Single person without children, 125% of AW","29,275.76",""
"2010","Belgium","Euro","Net earning","Single person without children, 167% of AW","36,599.83",""
"2010","Belgium","Euro","Net earning","Single person with 2 children, 67% of AW","23,582.17",""
"2010","Belgium","Euro","Net earning","One-earner married couple, at 100% of AW, with two children","33,195.88",""
"2010","Belgium","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children","41,845.72",""
"2010","Belgium","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children","47,912.91",""
"2010","Belgium","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children","54,400.86",""
"2010","Belgium","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children","37,263.26",""
"2010","Belgium","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children","49,818.41",""
"2010","Bulgaria","Euro","Net earning","Single person without children, 50% of AW","1,601.17",""
"2010","Bulgaria","Euro","Net earning","Single person without children, 67% of AW","2,145.57",""
"2010","Bulgaria","Euro","Net earning","Single person without children, 80% of AW","2,561.87",""
"2010","Bulgaria","Euro","Net earning","Single person without children, 100% of AW","3,202.34",""
"2010","Bulgaria","Euro","Net earning","Single person without children, 125% of AW","4,002.92",""
"2010","Bulgaria","Euro","Net earning","Single person without children, 167% of AW","5,347.91",""
"2010","Bulgaria","Euro","Net earning","Single person with 2 children, 67% of AW","3,311.33",""
"2010","Bulgaria","Euro","Net earning","One-earner married couple, at 100% of AW, with two children","3,631.83",""
"2010","Bulgaria","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children","4,688.60",""
"2010","Bulgaria","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children","5,777.40",""
"2010","Bulgaria","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children","6,834.18",""
"2010","Bulgaria","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children","4,259.11",""
"2010","Bulgaria","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children","6,404.68",""
"2010","Czechia","Euro","Net earning","Single person without children, 50% of AW","4,897.24",""
"2010","Czechia","Euro","Net earning","Single person without children, 67% of AW","6,228.27",""
"2010","Czechia","Euro","Net earning","Single person without children, 80% of AW","7,246.12",""
"2010","Czechia","Euro","Net earning","Single person without children, 100% of AW","8,812.03",""
"2010","Czechia","Euro","Net earning","Single person without children, 125% of AW","10,769.43",""
"2010","Czechia","Euro","Net earning","Single person without children, 167% of AW","14,057.86",""
"2010","Czechia","Euro","Net earning","Single person with 2 children, 67% of AW","8,594.11",""
"2010","Czechia","Euro","Net earning","One-earner married couple, at 100% of AW, with two children","12,013.23",""
"2010","Czechia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children","14,117.99",""
"2010","Czechia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children","16,701.48",""
"2010","Czechia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children","19,120.98",""
"2010","Czechia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children","12,149.56",""
"2010","Czechia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children","17,624.07",""
"2010","Denmark","Euro","Net earning","Single person without children, 50% of AW","17,367.89",""
"2010","Denmark","Euro","Net earning","Single person without children, 67% of AW","22,497.32",""
"2010","Denmark","Euro","Net earning","Single person without children, 80% of AW","26,419.83",""
"2010","Denmark","Euro","Net earning","Single person without children, 100% of AW","32,349.16",""
