"TIME","GEO","PURCHASE","UNIT","Value","Flag and Footnotes"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Annual average index","98.47","p"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Annual average rate of change","1.2","p"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Purchases of new dwellings","Annual average index",":",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Purchases of new dwellings","Annual average rate of change",":",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Purchases of existing dwellings","Annual average index",":",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Purchases of existing dwellings","Annual average rate of change",":",""
"2010","European Union - 27 countries (from 2020)","Total","Annual average index","100.65","p"
"2010","European Union - 27 countries (from 2020)","Total","Annual average rate of change","0.5","p"
"2010","European Union - 27 countries (from 2020)","Purchases of new dwellings","Annual average index",":",""
"2010","European Union - 27 countries (from 2020)","Purchases of new dwellings","Annual average rate of change",":",""
"2010","European Union - 27 countries (from 2020)","Purchases of existing dwellings","Annual average index",":",""
"2010","European Union - 27 countries (from 2020)","Purchases of existing dwellings","Annual average rate of change",":",""
"2010","European Union - 28 countries (2013-2020)","Total","Annual average index","98.47","p"
"2010","European Union - 28 countries (2013-2020)","Total","Annual average rate of change","1.2","p"
"2010","European Union - 28 countries (2013-2020)","Purchases of new dwellings","Annual average index",":",""
"2010","European Union - 28 countries (2013-2020)","Purchases of new dwellings","Annual average rate of change",":",""
"2010","European Union - 28 countries (2013-2020)","Purchases of existing dwellings","Annual average index",":",""
"2010","European Union - 28 countries (2013-2020)","Purchases of existing dwellings","Annual average rate of change",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Total","Annual average index","101.52","p"
